LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID70277,70277,0,8.279401779174805,60.85163378559461,53.71371019559607,0.0,2.0,2,7.5,1,,183.46153846153845,255.0,0.0,255.0,40545.0,114.82252952584389,0.3867195242814668,0.8911593852506428
ID70279,70279,0,9.428267478942871,64.22090754864439,53.314061472183404,0.0,0.0,0,7.5,1,,195.0,255.0,0.0,255.0,43095.0,108.41209258280101,0.5229902713773681,1.2353310593330584
ID70278,70278,0,8.670970916748047,60.19170145608446,54.56452011874063,0.0,1.0,1,7.5,1,,218.07692307692307,255.0,0.0,255.0,48195.0,89.93704091569415,0.43626943005181346,1.4730584432581555
ID70281,70281,0,5.595364570617676,58.53880163196328,54.29767082201929,0.0,5.0,5,7.5,1,,151.15384615384616,255.0,0.0,255.0,33405.0,125.571073124324,0.13197172034564025,0.28067575093397923
ID70283,70283,0,9.085200309753418,61.427851614470384,49.638637565030926,0.0,3.0,3,7.5,1,,205.3846153846154,255.0,0.0,255.0,45390.0,101.17586641119526,0.5013898207610468,1.3558230662346435
ID70282,70282,0,6.240414142608643,58.06547402452518,49.72936135057546,0.0,4.0,4,7.5,1,,195.0,255.0,0.0,255.0,43095.0,108.41209258280101,0.21433820527476116,0.6349606482767336
ID70284,70284,0,6.200954914093018,55.13386669147951,50.028922095317085,0.0,6.0,6,7.5,1,,191.53846153846155,255.0,0.0,255.0,42330.0,110.5014792800395,0.20917142620643986,0.5996976958972963
ID70280,70280,1,7.717653274536133,56.96550967704955,49.87506034092048,0.0,9.0,9,7.5,1,,184.6153846153846,255.0,0.0,255.0,40800.0,114.25036915978346,0.33776722090261285,0.8159756958434424
ID70285,70285,1,8.464092254638672,57.56072410987099,54.968710763486875,0.0,11.0,11,7.5,1,,177.69230769230768,255.0,0.0,255.0,39270.0,117.47094567135832,0.42457689477557026,0.9016513109901435
ID70287,70287,1,8.249367713928223,44.60572659065441,43.41918085780181,0.0,16.0,16,7.5,1,,214.6153846153846,255.0,0.0,255.0,47430.0,93.30892746171723,0.4276493676406455,1.3779514814156086
ID70286,70286,1,9.321732521057129,56.38119620402437,50.59593247617489,0.0,13.0,13,7.5,1,,208.84615384615384,255.0,0.0,255.0,46155.0,98.40156062211172,0.5297733384556281,1.470000564379722
ID70289,70289,1,7.547704219818115,56.613741044488,51.10650483159073,0.0,10.0,10,7.5,1,,188.07692307692307,255.0,0.0,255.0,41565.0,112.44509149535367,0.32691951896392224,0.8241784851822951
ID70288,70288,1,7.681893348693848,57.934712279359175,50.27380559918323,0.0,12.0,12,7.5,1,,183.46153846153845,255.0,0.0,255.0,40545.0,114.82252952584389,0.32,0.7746828894849257
ID70291,70291,1,8.358983993530273,48.94228108581789,48.18324795559873,0.0,15.0,15,7.5,1,,189.23076923076923,255.0,0.0,255.0,41820.0,111.81293693992984,0.4021179442339454,0.9707303355113703
ID70290,70290,1,8.70962905883789,54.30097388318075,49.5013919164012,0.0,14.0,14,7.5,1,,199.6153846153846,255.0,0.0,255.0,44115.0,105.3844112090305,0.4638461538461538,1.2004004676989293
ID70292,70292,1,9.042531967163086,41.16479157445301,40.821906682229184,0.0,17.0,17,7.5,1,,197.30769230769232,255.0,0.0,255.0,43605.0,106.93398721817906,0.4962712538530377,1.223959477596443
ID70295,70295,1,8.91769027709961,43.923776865596764,40.410476892618846,0.0,19.0,19,7.5,1,,212.30769230769232,255.0,0.0,255.0,46920.0,95.4206733108973,0.4923502304147465,1.468103375575471
ID70294,70294,1,8.293102264404297,42.163406877792994,38.330918454440905,0.0,18.0,18,7.5,1,,211.15384615384616,255.0,0.0,255.0,46665.0,96.43841108638802,0.41040462427745666,1.2742289508952742
ID70297,70297,1,7.694050312042236,43.48863348973205,35.62426019295956,0.0,24.0,24,7.5,1,,208.84615384615384,255.0,0.0,255.0,46155.0,98.40156062211172,0.3472046012010488,1.0939725012289263
ID70296,70296,1,7.613004207611084,45.30904092929499,35.33661578104383,0.0,21.0,21,7.5,1,,212.30769230769232,255.0,0.0,255.0,46920.0,95.4206733108973,0.3602150537634408,1.1784401487210072
ID70299,70299,1,8.86025619506836,44.94101516566394,37.34427525092801,0.0,22.0,22,7.5,1,,191.53846153846155,255.0,0.0,255.0,42330.0,110.5014792800395,0.4523762179359714,1.0797880951059353
ID70298,70298,1,8.504899978637695,44.81417174645053,38.8305467924757,0.0,20.0,20,7.5,1,,211.15384615384616,255.0,0.0,255.0,46665.0,96.43841108638802,0.467201166180758,1.394418706826924
