LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID7168,7168,0,8.862421989440918,115.51237428179897,99.30264298016195,0.0,32.0,32,9.0,1,,206.57761732851986,255.0,0.0,255.0,57222.0,73.24590262140327,0.9285806368441407,2.7158873084921336
ID7169,7169,0,8.847801208496094,116.93143178146751,99.66678567343163,0.0,33.0,33,9.0,1,,216.51985559566788,255.0,0.0,255.0,59976.0,66.92720306515108,0.8990808072353813,3.0632351068835075
ID7170,7170,0,8.814699172973633,117.17236585996903,100.18354876792716,0.0,34.0,34,9.0,1,,197.37184115523465,255.0,0.0,255.0,54672.0,82.33359811231179,0.9436521308445105,2.327723970890858
ID7171,7171,0,8.85539722442627,124.34646347760315,95.74965031600911,0.0,37.0,37,9.0,1,,205.28880866425993,255.0,0.0,255.0,56865.0,76.61221038514255,0.9298393735356818,2.582165336773497
ID7172,7172,0,8.69287395477295,118.50762694743717,95.91778914593583,0.0,38.0,38,9.0,1,,211.91696750902528,255.0,0.0,255.0,58701.0,74.07954719428177,0.8766279472057964,2.6726035416052687
ID7173,7173,0,8.79004955291748,124.86058864068293,98.54866819150669,0.0,35.0,35,9.0,1,,215.96750902527077,255.0,0.0,255.0,59823.0,68.35114757847349,0.8931419708862454,2.9813290974943247
ID7174,7174,0,8.79394245147705,112.74181058294018,98.0267948331222,0.0,39.0,39,9.0,1,,226.27797833935017,255.0,0.0,255.0,62679.0,54.23671932772393,0.863736312510287,3.8670125793009937
ID7175,7175,0,8.848926544189453,110.16980226496472,103.23032828733899,0.0,25.0,25,9.0,1,,194.057761732852,255.0,0.0,255.0,53754.0,83.7043857138061,0.9647371196828343,2.276760450225137
ID7176,7176,0,8.821669578552246,112.12871177270524,94.13869568454398,0.0,40.0,40,9.0,1,,218.5451263537906,255.0,0.0,255.0,60537.0,61.73883416974898,0.8882280136106682,3.3302951659667355
ID7177,7177,0,8.688224792480469,119.46434253839499,95.79536106021722,0.0,36.0,36,9.0,1,,207.12996389891697,255.0,0.0,255.0,57375.0,75.9409410426808,0.8872305582008607,2.564534122920177
ID7178,7178,0,8.831528663635254,109.09069658108439,93.79109766641217,0.0,43.0,43,9.0,1,,210.44404332129963,255.0,0.0,255.0,58293.0,69.2299880222674,0.9102356764424445,2.896938518414136
ID7179,7179,0,8.86455249786377,106.59206956254009,91.07368355076602,0.0,44.0,44,9.0,1,,222.77978339350182,255.0,51.0,255.0,61710.0,55.972222885423385,0.8897373851649331,3.7479483946014467
ID7180,7180,0,8.78221321105957,111.99771402687796,96.72855048263678,0.0,41.0,41,9.0,1,,203.07942238267148,255.0,0.0,255.0,56253.0,74.74978194693566,0.9234212680893595,2.608623750467096
ID7181,7181,0,8.711417198181152,111.26000924029911,90.91088422010152,0.0,45.0,45,9.0,1,,211.91696750902528,255.0,0.0,255.0,58701.0,68.93993106406852,0.8818101521486434,2.8808733682499774
ID7182,7182,0,8.733514785766602,112.63300727909875,94.389808965328,0.0,42.0,42,9.0,1,,212.8375451263538,255.0,0.0,255.0,58956.0,69.98171835627271,0.8833271742542548,2.852919076040375
ID7183,7183,0,8.79881763458252,110.69015955591301,91.56553662665182,0.0,47.0,47,9.0,1,,216.70397111913357,255.0,0.0,255.0,60027.0,64.81740589811872,0.8919435478891227,3.152349882252405
ID7184,7184,0,8.827856063842773,109.09154825102135,91.04825800404285,0.0,46.0,46,9.0,1,,207.68231046931407,255.0,0.0,255.0,57528.0,70.9761146627043,0.9167672581271855,2.7990263869822516
ID7185,7185,0,8.891987800598145,107.16013740870446,91.16868637467138,0.0,49.0,49,9.0,1,,214.86281588447653,255.0,0.0,255.0,59517.0,66.44150710177408,0.9135891344515632,3.0878344849376274
ID7186,7186,0,8.79193115234375,100.56845312234923,81.69262546247379,0.0,51.0,51,9.0,1,,231.6173285198556,255.0,0.0,255.0,64158.0,51.255520622530575,0.8536601143937366,4.162126539251695
ID7187,7187,0,8.864954948425293,110.4022457797669,83.55707450987731,0.0,53.0,53,9.0,1,,201.05415162454872,255.0,0.0,255.0,55692.0,77.3621304702117,0.9469980952712282,2.5281229938225382
ID7188,7188,0,8.848825454711914,105.91279722947182,89.28364109236898,0.0,48.0,48,9.0,1,,223.5162454873646,255.0,51.0,255.0,61914.0,55.03810198317666,0.8836414140745183,3.8102500060466293
ID7189,7189,0,8.837357521057129,103.05007969375902,85.05838543394273,0.0,52.0,52,9.0,1,,233.45848375451263,255.0,51.0,255.0,64668.0,44.2292599624175,0.8593239797286907,4.879011525486335
ID7190,7190,0,8.82207202911377,118.26579032338975,82.23696815426536,0.0,56.0,56,9.0,1,,188.71841155234657,255.0,0.0,255.0,52275.0,87.16018977449336,0.9765494925170963,2.139501848774934
ID7191,7191,0,8.936705589294434,111.53908118083051,78.10071395241586,0.0,55.0,55,9.0,1,,206.94584837545128,255.0,0.0,255.0,57324.0,69.94087015362709,0.9507528456592321,2.8841714106281775
ID7192,7192,0,8.849855422973633,122.55663999117466,78.1626601651841,0.0,59.0,59,9.0,1,,210.07581227436822,255.0,0.0,255.0,58191.0,71.01013930312085,0.9198565268288879,2.8348951579989223
