0.0287356,6.42972e-13
0.0574713,7.00203e-13
0.0862069,8.60176e-13
0.114943,9.06642e-13
0.143678,9.57129e-13
0.172414,1.02948e-12
0.201149,1.13923e-12
0.229885,1.20577e-12
0.258621,1.36752e-12
0.287356,1.50138e-12
0.316092,1.55214e-12
0.344828,1.64659e-12
0.373563,1.74628e-12
0.402299,1.83449e-12
0.431034,1.93262e-12
0.45977,2.04131e-12
0.488506,2.1894e-12
0.517241,2.24157e-12
0.545977,2.35989e-12
0.574713,2.40645e-12
0.603448,2.62204e-12
0.632184,2.71167e-12
0.66092,2.71923e-12
0.689655,2.81121e-12
0.718391,2.90521e-12
0.747126,3.03631e-12
0.775862,3.08663e-12
0.804598,3.13318e-12
0.833333,3.27407e-12
0.862069,3.39163e-12
0.890805,3.3611e-12
0.91954,3.35506e-12
0.948276,3.38632e-12
0.977011,3.45037e-12
1.00575,3.39069e-12
1.03448,3.39423e-12
1.06322,3.43794e-12
1.09195,3.42095e-12
1.12069,3.4486e-12
1.14943,3.42679e-12
1.17816,3.48354e-12
1.2069,3.42279e-12
1.23563,3.44625e-12
1.26437,3.47394e-12
1.2931,3.53704e-12
1.32184,3.46661e-12
1.35057,3.38947e-12
1.37931,3.32164e-12
1.40805,3.31764e-12
1.43678,3.32986e-12
