0.0287356,2.5696e-14
0.0574713,3.35336e-14
0.0862069,3.68824e-14
0.114943,4.81661e-14
0.143678,6.32141e-14
0.172414,7.16494e-14
0.201149,8.4406e-14
0.229885,9.95649e-14
0.258621,1.14383e-13
0.287356,1.26296e-13
0.316092,1.454e-13
0.344828,1.611e-13
0.373563,1.76618e-13
0.402299,1.9408e-13
0.431034,2.10348e-13
0.45977,2.25478e-13
0.488506,2.42982e-13
0.517241,2.59765e-13
0.545977,2.77969e-13
0.574713,2.96855e-13
0.603448,3.14312e-13
0.632184,3.3349e-13
0.66092,3.53181e-13
0.689655,3.75815e-13
0.718391,3.93804e-13
0.747126,4.15058e-13
0.775862,4.38085e-13
0.804598,4.57968e-13
0.833333,4.79446e-13
0.862069,5.03671e-13
0.890805,5.24937e-13
0.91954,5.47667e-13
0.948276,5.71703e-13
0.977011,5.95373e-13
1.00575,6.18869e-13
1.03448,6.46607e-13
1.06322,6.76266e-13
1.09195,6.98693e-13
1.12069,7.24522e-13
1.14943,7.54257e-13
1.17816,7.77862e-13
1.2069,8.01828e-13
1.23563,8.30844e-13
1.26437,8.56607e-13
1.2931,8.84165e-13
1.32184,9.1028e-13
1.35057,9.36606e-13
1.37931,9.6345e-13
1.40805,9.89554e-13
1.43678,1.0163e-12
1.46552,1.0434e-12
1.49425,1.06381e-12
1.52299,1.09208e-12
1.55172,1.11814e-12
1.58046,1.14116e-12
1.6092,1.16725e-12
1.63793,1.19241e-12
1.66667,1.21636e-12
1.6954,1.24094e-12
1.72414,1.26837e-12
1.75287,1.28522e-12
1.78161,1.30368e-12
1.81034,1.32334e-12
1.83908,1.34017e-12
1.86782,1.35605e-12
1.89655,1.37695e-12
1.92529,1.39532e-12
1.95402,1.41842e-12
1.98276,1.43306e-12
2.01149,1.45573e-12
2.04023,1.47441e-12
2.06897,1.49267e-12
2.0977,1.50927e-12
2.12644,1.52802e-12
2.15517,1.54401e-12
2.18391,1.56124e-12
2.21264,1.57973e-12
2.24138,1.59853e-12
2.27011,1.61611e-12
2.29885,1.63084e-12
2.32759,1.65214e-12
2.35632,1.67093e-12
2.38506,1.68781e-12
2.41379,1.70587e-12
2.44253,1.72427e-12
2.47126,1.74203e-12
2.5,1.75762e-12
2.52874,1.77639e-12
2.55747,1.79381e-12
2.58621,1.80806e-12
2.61494,1.825e-12
2.64368,1.84281e-12
2.67241,1.85751e-12
2.70115,1.86897e-12
2.72989,1.88338e-12
2.75862,1.892e-12
2.78736,1.90106e-12
2.81609,1.91139e-12
2.84483,1.9189e-12
2.87356,1.92547e-12
2.9023,1.93689e-12
2.93103,1.9415e-12
2.95977,1.95043e-12
2.98851,1.95376e-12
3.01724,1.96005e-12
3.04598,1.96335e-12
3.07471,1.96543e-12
3.10345,1.96451e-12
3.13218,1.96806e-12
3.16092,1.97186e-12
3.18966,1.97642e-12
3.21839,1.98157e-12
3.24713,1.98842e-12
3.27586,1.99282e-12
3.3046,1.99716e-12
3.33333,2.00006e-12
3.36207,2.00393e-12
3.3908,2.00872e-12
3.41954,2.0126e-12
3.44828,2.0184e-12
3.47701,2.02227e-12
3.50575,2.02838e-12
3.53448,2.03639e-12
3.56322,2.04289e-12
3.59195,2.0494e-12
3.62069,2.05771e-12
3.64943,2.06289e-12
3.67816,2.07002e-12
3.7069,2.07936e-12
3.73563,2.0894e-12
3.76437,2.09848e-12
3.7931,2.11124e-12
3.82184,2.12402e-12
3.85057,2.1394e-12
3.87931,2.15089e-12
3.90805,2.16849e-12
3.93678,2.18044e-12
3.96552,2.19411e-12
3.99425,2.21365e-12
4.02299,2.22998e-12
4.05172,2.24531e-12
4.08046,2.25649e-12
4.1092,2.26713e-12
4.13793,2.27754e-12
4.16667,2.28872e-12
4.1954,2.29551e-12
4.22414,2.3051e-12
4.25287,2.31229e-12
4.28161,2.31644e-12
4.31034,2.32272e-12
